soil,treatment,replicate,pot_label,seed_survival,seed_survival_rate,soil_sample_label,plant_location_clockwise_from_label,setup_weight_g,weight_field_capacity_g,target_weight_g,shoot_length_cm,num_spikelets,root_length_cm,shoot_root_biomass_g
Manteca,Control,1,1●,1,0.25,Man_end_1.1,1,319,403,346,2.1,0,,
Manteca,Control,1,1●,0,0.25,Man_end_1.1,2,319,403,346,N/A,N/A,N/A,N/A
Manteca,Control,1,1●,0,0.25,Man_end_1.1,3,319,403,346,N/A,N/A,N/A,N/A
Manteca,Control,1,1●,0,0.25,Man_end_1.1,4,319,403,346,N/A,N/A,N/A,N/A
Manteca,Control,2,2●,0,0.25,Man_end_1.2,1,318,403,345,N/A,N/A,N/A,N/A
Manteca,Control,2,2●,0,0.25,Man_end_1.2,2,318,403,345,N/A,N/A,N/A,N/A
Manteca,Control,2,2●,0,0.25,Man_end_1.2,3,318,403,345,N/A,N/A,N/A,N/A
Manteca,Control,2,2●,1,0.25,Man_end_1.2,4,318,403,345,1.9,0,0.3,0.0034
Manteca,Control,3,3●,0,0,Man_end_1.3,1,318,403,342.6,N/A,N/A,N/A,N/A
Manteca,Control,3,3●,0,0,Man_end_1.3,2,318,403,342.6,N/A,N/A,N/A,N/A
Manteca,Control,3,3●,0,0,Man_end_1.3,3,318,403,342.6,N/A,N/A,N/A,N/A
Manteca,Control,3,3●,0,0,Man_end_1.3,4,318,403,342.6,N/A,N/A,N/A,N/A
Manteca,Control,4,4●,1,0.75,Man_end_1.4,1,317,402,339.8,0.6,0,,
Manteca,Control,4,4●,1,0.75,Man_end_1.4,2,317,402,339.8,0.6,0,,
Manteca,Control,4,4●,1,0.75,Man_end_1.4,3,317,402,339.8,3.6,0,1.1,0.0069
Manteca,Control,4,4●,0,0.75,Man_end_1.4,4,317,402,339.8,N/A,N/A,N/A,N/A
Manteca,Control,5,5●,0,0,Man_end_1.5,1,334,421,359.2,N/A,N/A,N/A,N/A
Manteca,Control,5,5●,0,0,Man_end_1.5,2,334,421,359.2,N/A,N/A,N/A,N/A
